,4AEN_AB_6_C_2.pdb,1MUJ_AB_6_C_1.pdb,1T5W_DE_6_F_1.pdb,4IS6_AB_6_C_1.pdb,3S4S_AB_6_C_1.pdb,3PDO_AB_6_C_1.pdb,1R5V_CD_6_F_1.pdb,1SJH_AB_6_C_1.pdb,3C5J_AB_6_C_1.pdb,1FV1_DE_6_F_1.pdb,1UVQ_AB_6_C_1.pdb,4H26_DE_6_F_1.pdb,4MDJ_AB_6_C_1.pdb,1IAK_AB_6_P_1.pdb,2NNA_AB_6_C_1.pdb,1S9V_DE_6_F_1.pdb,1AQD_JK_6_L_1.pdb,1KLU_AB_6_C_1.pdb,4I5B_DE_6_F_1.pdb,1JK8_AB_6_C_1.pdb,4OV5_PQ_6_R_1.pdb,2Q6W_DE_6_F_1.pdb,4H25_DE_6_F_1.pdb,4X5W_AB_6_C_1.pdb,3QXD_DE_6_F_1.pdb
1UVQ_AB_6_C_1.pdb,0.7285714285714285,0.7571428571428571,0.6857142857142857,0.6714285714285714,0.7047619047619048,0.680952380952381,0.6666666666666666,0.6857142857142857,0.6714285714285714,0.6761904761904762,1.0,0.6523809523809524,0.6714285714285714,0.7428571428571429,0.8952380952380953,0.8761904761904762,0.6952380952380952,0.6857142857142857,0.6904761904761905,0.8809523809523809,0.6904761904761905,0.6428571428571429,0.680952380952381,0.6904761904761905,0.6904761904761905
4H26_DE_6_F_1.pdb,0.8761904761904762,0.6047619047619047,0.8809523809523809,0.8809523809523809,0.8714285714285714,0.8476190476190476,0.7761904761904762,0.8904761904761904,0.9619047619047619,0.861904761904762,0.6523809523809524,1.0,0.8857142857142857,0.6285714285714286,0.6238095238095238,0.6619047619047619,0.8809523809523809,0.8904761904761904,0.8809523809523809,0.6523809523809524,0.8857142857142857,0.9285714285714286,0.9619047619047619,0.8238095238095238,0.8857142857142857
4MDJ_AB_6_C_1.pdb,0.861904761904762,0.6333333333333333,0.8761904761904762,0.9476190476190476,0.8666666666666667,0.8476190476190476,0.7666666666666667,0.8952380952380953,0.8571428571428571,0.8952380952380953,0.6714285714285714,0.8857142857142857,1.0,0.6428571428571429,0.6428571428571429,0.6714285714285714,0.8714285714285714,0.8952380952380953,0.8809523809523809,0.6761904761904762,0.8809523809523809,0.8523809523809524,0.8571428571428571,0.8285714285714286,0.8809523809523809
1IAK_AB_6_P_1.pdb,0.6571428571428571,0.8380952380952381,0.6666666666666666,0.638095238095238,0.6523809523809524,0.6285714285714286,0.6428571428571429,0.6523809523809524,0.6285714285714286,0.638095238095238,0.7428571428571429,0.6285714285714286,0.6428571428571429,1.0,0.719047619047619,0.7333333333333333,0.6761904761904762,0.6523809523809524,0.6666666666666666,0.7571428571428571,0.6714285714285714,0.6238095238095238,0.6238095238095238,0.6095238095238096,0.6714285714285714
2NNA_AB_6_C_1.pdb,0.680952380952381,0.7380952380952381,0.6476190476190476,0.6476190476190476,0.6714285714285714,0.6476190476190476,0.6333333333333333,0.6476190476190476,0.6428571428571429,0.6428571428571429,0.8952380952380953,0.6238095238095238,0.6428571428571429,0.719047619047619,1.0,0.8904761904761904,0.6428571428571429,0.6476190476190476,0.6476190476190476,0.9238095238095239,0.6523809523809524,0.6047619047619047,0.6523809523809524,0.6571428571428571,0.6523809523809524
1S9V_DE_6_F_1.pdb,0.7380952380952381,0.7523809523809524,0.6952380952380952,0.6761904761904762,0.7142857142857143,0.6904761904761905,0.6571428571428571,0.6952380952380952,0.6857142857142857,0.680952380952381,0.8761904761904762,0.6619047619047619,0.6714285714285714,0.7333333333333333,0.8904761904761904,1.0,0.7,0.6952380952380952,0.7,0.8714285714285714,0.7,0.6523809523809524,0.6904761904761905,0.6952380952380952,0.7
1AQD_JK_6_L_1.pdb,0.9571428571428572,0.638095238095238,0.9809523809523809,0.8714285714285714,0.9523809523809523,0.9238095238095239,0.7619047619047619,0.9619047619047619,0.8714285714285714,0.8952380952380953,0.6952380952380952,0.8809523809523809,0.8714285714285714,0.6761904761904762,0.6428571428571429,0.7,1.0,0.9619047619047619,0.9857142857142858,0.6714285714285714,0.9857142857142858,0.8857142857142857,0.861904761904762,0.9095238095238095,0.9857142857142858
1KLU_AB_6_C_1.pdb,0.9571428571428572,0.6238095238095238,0.9809523809523809,0.8952380952380953,0.9714285714285714,0.9523809523809523,0.7714285714285715,1.0,0.861904761904762,0.9285714285714286,0.6857142857142857,0.8904761904761904,0.8952380952380953,0.6523809523809524,0.6476190476190476,0.6952380952380952,0.9619047619047619,1.0,0.9666666666666667,0.6761904761904762,0.9761904761904762,0.8666666666666667,0.861904761904762,0.9142857142857143,0.9761904761904762
4I5B_DE_6_F_1.pdb,0.9523809523809523,0.6285714285714286,0.9857142857142858,0.8809523809523809,0.9571428571428572,0.9285714285714286,0.7523809523809524,0.9666666666666667,0.861904761904762,0.9047619047619048,0.6904761904761905,0.8809523809523809,0.8809523809523809,0.6666666666666666,0.6476190476190476,0.7,0.9857142857142858,0.9666666666666667,1.0,0.6666666666666666,0.9904761904761905,0.8857142857142857,0.861904761904762,0.9142857142857143,0.9904761904761905
1JK8_AB_6_C_1.pdb,0.6666666666666666,0.7380952380952381,0.6619047619047619,0.6571428571428571,0.6619047619047619,0.6476190476190476,0.6666666666666666,0.6761904761904762,0.638095238095238,0.6714285714285714,0.8809523809523809,0.6523809523809524,0.6761904761904762,0.7571428571428571,0.9238095238095239,0.8714285714285714,0.6714285714285714,0.6761904761904762,0.6666666666666666,1.0,0.6666666666666666,0.6238095238095238,0.638095238095238,0.6285714285714286,0.6666666666666666
4OV5_PQ_6_R_1.pdb,0.9619047619047619,0.6285714285714286,0.9952380952380953,0.8857142857142857,0.9666666666666667,0.9380952380952381,0.7571428571428571,0.9761904761904762,0.8666666666666667,0.9095238095238095,0.6904761904761905,0.8857142857142857,0.8809523809523809,0.6714285714285714,0.6523809523809524,0.7,0.9857142857142858,0.9761904761904762,0.9904761904761905,0.6666666666666666,1.0,0.8904761904761904,0.8666666666666667,0.919047619047619,1.0
2Q6W_DE_6_F_1.pdb,0.861904761904762,0.5952380952380952,0.8857142857142857,0.8714285714285714,0.8571428571428571,0.8285714285714286,0.7619047619047619,0.8666666666666667,0.919047619047619,0.8523809523809524,0.6428571428571429,0.9285714285714286,0.8523809523809524,0.6238095238095238,0.6047619047619047,0.6523809523809524,0.8857142857142857,0.8666666666666667,0.8857142857142857,0.6238095238095238,0.8904761904761904,1.0,0.9095238095238095,0.8095238095238095,0.8904761904761904
4H25_DE_6_F_1.pdb,0.8952380952380953,0.6238095238095238,0.861904761904762,0.8714285714285714,0.8714285714285714,0.8666666666666667,0.7523809523809524,0.861904761904762,0.9666666666666667,0.8380952380952381,0.680952380952381,0.9619047619047619,0.8571428571428571,0.6238095238095238,0.6523809523809524,0.6904761904761905,0.861904761904762,0.861904761904762,0.861904761904762,0.638095238095238,0.8666666666666667,0.9095238095238095,1.0,0.8523809523809524,0.8666666666666667
