,1FCH_AB_23_C_2.pdb,3Q49_B_23_C_1.pdb,4N39_A_23_B_1.pdb,3CVP_A_23_B_1.pdb,4WNG_A_23_B_1.pdb,4N3B_A_23_B_1.pdb,3RO3_A_23_B_2.pdb,1FCH_AB_23_D_4.pdb,4N3A_A_23_B_2.pdb,2XCB_A_23_C_1.pdb,4AM9_A_23_B_2.pdb,4JL0_B_23_D_1.pdb,1ELR_A_23_B_2.pdb,1ELW_B_23_D_1.pdb,3CV0_A_23_B_2.pdb,4A1S_A_23_C_2.pdb,2XCB_A_23_C_2.pdb,3RO2_A_23_B_1.pdb,1ELR_A_23_B_1.pdb,4G2V_A_23_B_2.pdb,4WNE_A_23_B_2.pdb,3FWV_B_23_D_2.pdb,3ESK_A_23_B_2.pdb,1ELW_B_23_D_2.pdb,4AM9_A_23_B_1.pdb,4WNE_A_23_B_1.pdb,4APO_B_23_D_1.pdb,3Q47_B_23_C_1.pdb,3FWV_B_23_D_1.pdb,4AIF_B_23_E_1.pdb,3ESK_A_23_B_1.pdb,4WNG_A_23_B_2.pdb,4GYY_C_23_D_3.pdb,4WND_A_23_B_2.pdb,4N39_A_23_B_2.pdb,3CVN_A_23_B_2.pdb,4A1S_A_23_C_1.pdb,3UPV_A_23_B_1.pdb,3CV0_A_23_B_1.pdb,4WND_A_23_B_1.pdb,3RO3_A_23_B_1.pdb,3CVL_A_23_B_2.pdb,4G2V_A_23_B_1.pdb,3CVP_A_23_B_2.pdb,4GYO_B_23_C_2.pdb,4N3B_A_23_B_2.pdb,3RO2_A_23_B_2.pdb,4N3A_A_23_B_1.pdb
4AM9_A_23_B_2.pdb,0.8095238095238095,0.9232804232804233,0.5456349206349206,0.8207671957671958,0.7896825396825397,0.5456349206349206,0.9007936507936508,0.8095238095238095,0.5456349206349206,0.9556878306878307,1.0,0.9556878306878307,0.9166666666666666,0.921957671957672,0.8095238095238095,0.792989417989418,0.9556878306878307,0.7923280423280423,0.9166666666666666,0.7976190476190477,0.7936507936507936,0.9126984126984127,0.9166666666666666,0.921957671957672,1.0,0.7936507936507936,0.9054232804232805,0.9232804232804233,0.9126984126984127,0.9074074074074074,0.9166666666666666,0.7896825396825397,0.5628306878306878,0.791005291005291,0.5456349206349206,0.8075396825396826,0.792989417989418,0.923941798941799,0.8095238095238095,0.791005291005291,0.9007936507936508,0.8141534391534392,0.7976190476190477,0.8207671957671958,0.7671957671957672,0.5456349206349206,0.7923280423280423,0.5456349206349206
4JL0_B_23_D_1.pdb,0.8075396825396826,0.921957671957672,0.5436507936507936,0.8187830687830688,0.7896825396825397,0.542989417989418,0.9027777777777778,0.8075396825396826,0.542989417989418,0.9927248677248677,0.9556878306878307,1.0,0.9153439153439153,0.9252645502645502,0.8088624338624338,0.7916666666666666,0.9927248677248677,0.7916666666666666,0.9153439153439153,0.7956349206349206,0.7923280423280423,0.9120370370370371,0.9153439153439153,0.9252645502645502,0.9556878306878307,0.7923280423280423,0.9001322751322751,0.921957671957672,0.9120370370370371,0.9041005291005291,0.9153439153439153,0.7896825396825397,0.5601851851851852,0.7903439153439153,0.5436507936507936,0.8062169312169312,0.7916666666666666,0.9246031746031746,0.8088624338624338,0.7903439153439153,0.9027777777777778,0.8121693121693122,0.7956349206349206,0.8187830687830688,0.7671957671957672,0.542989417989418,0.7916666666666666,0.542989417989418
1ELR_A_23_B_2.pdb,0.8048941798941799,0.9252645502645502,0.548941798941799,0.8187830687830688,0.7943121693121693,0.548941798941799,0.9074074074074074,0.8048941798941799,0.548941798941799,0.9146825396825397,0.9166666666666666,0.9153439153439153,1.0,0.9358465608465608,0.8055555555555556,0.7923280423280423,0.9146825396825397,0.796957671957672,1.0,0.8015873015873016,0.7982804232804233,0.9814814814814815,1.0,0.9358465608465608,0.9166666666666666,0.7982804232804233,0.9074074074074074,0.9252645502645502,0.9814814814814815,0.9093915343915344,1.0,0.7943121693121693,0.5661375661375662,0.7956349206349206,0.548941798941799,0.8055555555555556,0.7923280423280423,0.9252645502645502,0.8055555555555556,0.7956349206349206,0.9074074074074074,0.8108465608465608,0.8015873015873016,0.8187830687830688,0.7724867724867724,0.548941798941799,0.796957671957672,0.548941798941799
1ELW_B_23_D_1.pdb,0.8115079365079365,0.9285714285714286,0.5522486772486772,0.8234126984126984,0.7962962962962963,0.5522486772486772,0.908068783068783,0.8115079365079365,0.5522486772486772,0.921957671957672,0.921957671957672,0.9252645502645502,0.9358465608465608,1.0,0.8101851851851852,0.798941798941799,0.921957671957672,0.7982804232804233,0.9358465608465608,0.8029100529100529,0.7996031746031746,0.9298941798941799,0.9358465608465608,1.0,0.921957671957672,0.7996031746031746,0.91005291005291,0.9285714285714286,0.9298941798941799,0.9146825396825397,0.9358465608465608,0.7962962962962963,0.5701058201058201,0.796957671957672,0.5522486772486772,0.8088624338624338,0.798941798941799,0.9345238095238095,0.8101851851851852,0.796957671957672,0.908068783068783,0.8141534391534392,0.8029100529100529,0.8234126984126984,0.7705026455026455,0.5522486772486772,0.7982804232804233,0.5522486772486772
3CV0_A_23_B_2.pdb,0.8657407407407407,0.8141534391534392,0.4365079365079365,0.9841269841269841,0.6759259259259259,0.44907407407407407,0.7890211640211641,0.8657407407407407,0.44907407407407407,0.8075396825396826,0.8095238095238095,0.8088624338624338,0.8055555555555556,0.8101851851851852,1.0,0.6759259259259259,0.8075396825396826,0.6772486772486772,0.8055555555555556,0.6818783068783069,0.6785714285714286,0.8009259259259259,0.8055555555555556,0.8101851851851852,0.8095238095238095,0.6785714285714286,0.791005291005291,0.8141534391534392,0.8009259259259259,0.794973544973545,0.8055555555555556,0.6759259259259259,0.46494708994708994,0.6765873015873016,0.4365079365079365,0.9656084656084656,0.6759259259259259,0.8161375661375662,1.0,0.6765873015873016,0.7890211640211641,0.9464285714285714,0.6818783068783069,0.9841269841269841,0.6567460317460317,0.44907407407407407,0.6772486772486772,0.44907407407407407
4A1S_A_23_C_2.pdb,0.6798941798941799,0.7982804232804233,0.419973544973545,0.6858465608465608,0.8948412698412699,0.419973544973545,0.7883597883597884,0.6798941798941799,0.419973544973545,0.7923280423280423,0.792989417989418,0.7916666666666666,0.7923280423280423,0.798941798941799,0.6759259259259259,1.0,0.7923280423280423,0.9007936507936508,0.7923280423280423,0.8988095238095238,0.8968253968253969,0.7876984126984127,0.7923280423280423,0.798941798941799,0.792989417989418,0.8968253968253969,0.7784391534391535,0.7982804232804233,0.7876984126984127,0.7804232804232805,0.7923280423280423,0.8948412698412699,0.43716931216931215,0.8948412698412699,0.419973544973545,0.6759259259259259,1.0,0.7916666666666666,0.6759259259259259,0.8948412698412699,0.7883597883597884,0.6825396825396826,0.8988095238095238,0.6858465608465608,0.6964285714285714,0.419973544973545,0.9007936507936508,0.419973544973545
2XCB_A_23_C_2.pdb,0.8068783068783069,0.9226190476190477,0.5436507936507936,0.8174603174603174,0.7903439153439153,0.542989417989418,0.9021164021164021,0.8068783068783069,0.542989417989418,1.0,0.9556878306878307,0.9927248677248677,0.9146825396825397,0.921957671957672,0.8075396825396826,0.7923280423280423,1.0,0.7916666666666666,0.9146825396825397,0.7962962962962963,0.792989417989418,0.9113756613756614,0.9146825396825397,0.921957671957672,0.9556878306878307,0.792989417989418,0.9021164021164021,0.9226190476190477,0.9113756613756614,0.9034391534391535,0.9146825396825397,0.7903439153439153,0.5601851851851852,0.791005291005291,0.5436507936507936,0.8062169312169312,0.7923280423280423,0.9232804232804233,0.8075396825396826,0.791005291005291,0.9021164021164021,0.8121693121693122,0.7962962962962963,0.8174603174603174,0.7658730158730159,0.542989417989418,0.7916666666666666,0.542989417989418
3RO2_A_23_B_1.pdb,0.6812169312169312,0.8015873015873016,0.421957671957672,0.6871693121693122,0.9523809523809523,0.421957671957672,0.7883597883597884,0.6812169312169312,0.421957671957672,0.7916666666666666,0.7923280423280423,0.7916666666666666,0.796957671957672,0.7982804232804233,0.6772486772486772,0.9007936507936508,0.7916666666666666,1.0,0.796957671957672,0.9556878306878307,0.9543650793650794,0.791005291005291,0.796957671957672,0.7982804232804233,0.7923280423280423,0.9543650793650794,0.7784391534391535,0.8015873015873016,0.791005291005291,0.781084656084656,0.796957671957672,0.9523809523809523,0.43915343915343913,0.9484126984126984,0.421957671957672,0.6759259259259259,0.9007936507936508,0.792989417989418,0.6772486772486772,0.9484126984126984,0.7883597883597884,0.6818783068783069,0.9556878306878307,0.6871693121693122,0.6977513227513228,0.421957671957672,1.0,0.421957671957672
1ELR_A_23_B_1.pdb,0.8048941798941799,0.9252645502645502,0.548941798941799,0.8187830687830688,0.7943121693121693,0.548941798941799,0.9074074074074074,0.8048941798941799,0.548941798941799,0.9146825396825397,0.9166666666666666,0.9153439153439153,1.0,0.9358465608465608,0.8055555555555556,0.7923280423280423,0.9146825396825397,0.796957671957672,1.0,0.8015873015873016,0.7982804232804233,0.9814814814814815,1.0,0.9358465608465608,0.9166666666666666,0.7982804232804233,0.9074074074074074,0.9252645502645502,0.9814814814814815,0.9093915343915344,1.0,0.7943121693121693,0.5661375661375662,0.7956349206349206,0.548941798941799,0.8055555555555556,0.7923280423280423,0.9252645502645502,0.8055555555555556,0.7956349206349206,0.9074074074074074,0.8108465608465608,0.8015873015873016,0.8187830687830688,0.7724867724867724,0.548941798941799,0.796957671957672,0.548941798941799
4G2V_A_23_B_2.pdb,0.6858465608465608,0.8048941798941799,0.4252645502645503,0.6917989417989417,0.9603174603174603,0.4252645502645503,0.792989417989418,0.6858465608465608,0.4252645502645503,0.7962962962962963,0.7976190476190477,0.7956349206349206,0.8015873015873016,0.8029100529100529,0.6818783068783069,0.8988095238095238,0.7962962962962963,0.9556878306878307,0.8015873015873016,1.0,0.9629629629629629,0.7956349206349206,0.8015873015873016,0.8029100529100529,0.7976190476190477,0.9629629629629629,0.783068783068783,0.8048941798941799,0.7956349206349206,0.7863756613756614,0.8015873015873016,0.9603174603174603,0.44246031746031744,0.9576719576719577,0.4252645502645503,0.6825396825396826,0.8988095238095238,0.7976190476190477,0.6818783068783069,0.9576719576719577,0.792989417989418,0.6878306878306878,1.0,0.6917989417989417,0.7017195767195767,0.4252645502645503,0.9556878306878307,0.4252645502645503
