1TU3 D 0.091 44
1TVB C 0.000 80
1TVH C 0.000 81
1TWB B 0.036 63
1TWF J 0.074 41
1TYL A 0.249 36
1TYL B 0.105 52
1TZG E 0.302 56
1TZG F 0.319 53
1TZS B 0.056 59
1TZS C 0.695 0
1U00 B 0.154 61
1U3R C 0.430 48
1U3R D 0.337 56
1U3S C 0.393 50
1U3S D 0.304 56
1U6H B 0.100 62
1U7B B 0.318 58
1U8H C 0.042 63
1U8I C 0.048 63
1U8J C 0.022 63
1U8K C 0.038 58
1U8M C 0.021 63
1U8Q C 0.085 64
1U91 C 0.024 66
1U92 C 0.030 64
1U93 C 0.042 62
1U95 C 0.040 62
1U9E C 0.403 50
1U9E D 0.322 52
1UEF B 0.299 47
1UGW E 0.073 68
1UGW F 0.000 69
1UGW G 0.000 70
1UGW H 0.001 72
1UGX B 0.437 39
1UGY E 0.072 67
1UGY F 0.000 68
1UGY G 0.000 72
1UGY H 0.000 70
1UHB C 0.358 72
1UHD B 0.276 62
1UHE B 0.289 62
1UJ0 B 0.398 42
1UK4 C 0.024 76
1UK4 D 0.357 22
1UK4 E 0.000 84
1UKH B 0.183 48
1UNT A 0.471 29
1UNT B 0.457 31
1UNU A 0.474 29
1UNU B 0.457 30
1UNW A 0.449 29
1UNW B 0.477 30
1UNX A 0.504 26
1UNX B 0.493 28
1UNY A 0.471 24
1UNY B 0.489 28
1UO0 A 0.445 30
1UO0 B 0.455 30
1UO1 A 0.434 29
1UO1 B 0.460 29
1UO2 A 0.467 30
1UO2 B 0.440 32
1UO3 A 0.441 31
1UO3 B 0.434 30
1UO4 A 0.439 31
1UO4 B 0.429 31
1UO5 A 0.461 29
1UO5 B 0.459 28
1URL B 0.394 32
1UTC B 0.000 57
1UTI B 0.475 35
1UVQ C 0.048 64
1UVT B 0.135 52
1UWX D 0.166 41
1UXS C 0.097 75
1UXW C 0.136 74
1V1T C 0.132 62
1V1T D 0.061 63
1VAC C 0.000 85
1VAD C 0.115 83
1VC3 B 0.352 60
1VF6 D 0.069 40
1VGC C 0.157 57
1VGK C 0.044 88
1VPP C 0.242 36
1VPP D 0.202 36
1VWA C 0.150 58
1VWA D 0.146 55
1VWB B 0.153 62
1VWC B 0.137 61
1VWD B 0.168 63
1VWE B 0.213 62
1VWF B 0.216 59
1VWG B 0.264 60
1VWH B 0.250 61
1VWM B 0.225 62
1VWN B 0.174 58
1VWO B 0.184 63
1VWP B 0.173 62
1VZJ E 0.047 92
1VZQ C 0.032 56
1W0V C 0.000 76
1W0W C 0.000 80
1W3C B 0.027 86
1W5G A 0.524 25
1W5G B 0.492 28
1W5H A 0.425 26
1W5H B 0.461 26
1W5I A 0.481 30
1W5I B 0.465 31
1W5L A 0.499 28
1W5L B 0.463 30
1W70 B 0.510 34
1W72 E 0.019 92
1W7G C 0.040 50
1W7Z A 0.279 29
1W7Z B 0.062 36
1W7Z C 0.115 29
1W7Z D 0.091 37
1W7Z E 0.054 39
1W80 B 0.221 42
1W80 C 0.063 56
1W85 E 0.093 28
1W88 E 0.085 29
1W9E C 0.134 64
1W9E D 0.194 62
1W9O B 0.137 63
1W9Q B 0.136 66
1WAV C 0.221 38
1WAV D 0.180 37
1WBP B 0.255 51
1WBX C 0.024 80
